INFO 2026-05-04 11:17:02,061 autoreload 3468 11456 Watching for file changes with StatReloader
WARNING 2026-05-04 20:57:11,253 log 29440 8728 Forbidden: /api/v1/admin/adhesions/
WARNING 2026-05-04 20:57:11,261 log 29440 26240 Forbidden: /api/v1/admin/adhesions/statistiques/
WARNING 2026-05-04 20:57:11,277 log 29440 30580 Forbidden: /api/v1/admin/adhesions/
WARNING 2026-05-04 20:57:11,287 log 29440 8912 Forbidden: /api/v1/admin/adhesions/statistiques/
WARNING 2026-05-04 20:57:16,609 log 29440 8912 Forbidden: /api/v1/
WARNING 2026-05-04 20:57:16,619 log 29440 30580 Forbidden: /api/v1/
WARNING 2026-05-04 20:57:18,796 log 29440 30580 Forbidden: /api/v1/admin/adhesions/
WARNING 2026-05-04 20:57:18,804 log 29440 8912 Forbidden: /api/v1/admin/adhesions/statistiques/
WARNING 2026-05-04 20:57:19,641 log 29440 26240 Forbidden: /api/v1/admin/adhesions/
WARNING 2026-05-04 20:57:19,651 log 29440 30580 Forbidden: /api/v1/admin/adhesions/statistiques/
WARNING 2026-05-04 20:57:21,857 log 29440 30580 Forbidden: /api/v1/galerie-action/
WARNING 2026-05-04 20:57:21,888 log 29440 26240 Forbidden: /api/v1/galerie-action/
WARNING 2026-05-04 20:57:29,623 log 29440 26240 Forbidden: /api/v1/galerie-action/
WARNING 2026-05-04 20:57:29,666 log 29440 30580 Forbidden: /api/v1/galerie-action/
WARNING 2026-05-04 20:57:45,958 log 29440 30580 Forbidden: /api/v1/
WARNING 2026-05-04 20:57:45,980 log 29440 26240 Forbidden: /api/v1/
WARNING 2026-05-04 20:57:47,998 log 29440 26240 Forbidden: /api/v1/galerie-action/
WARNING 2026-05-04 20:57:48,010 log 29440 30580 Forbidden: /api/v1/galerie-action/
WARNING 2026-05-04 21:02:26,468 log 29440 26240 Not Found: /api/v1/auth/me/
WARNING 2026-05-04 21:02:26,486 log 29440 30580 Not Found: /api/v1/auth/me/
